cups,media_invierno,std_invierno,skewness_invierno,kurtosis_invierno,energia_fft_invierno,frecuencia_dominante_invierno,mediana_invierno,p25_invierno,p75_invierno,media_otoño,std_otoño,skewness_otoño,kurtosis_otoño,energia_fft_otoño,frecuencia_dominante_otoño,mediana_otoño,p25_otoño,p75_otoño,media_primavera,std_primavera,skewness_primavera,kurtosis_primavera,energia_fft_primavera,frecuencia_dominante_primavera,mediana_primavera,p25_primavera,p75_primavera,media_verano,std_verano,skewness_verano,kurtosis_verano,energia_fft_verano,frecuencia_dominante_verano,mediana_verano,p25_verano,p75_verano,media_anual,std_anual,skewness_anual,kurtosis_anual,energia_fft_anual,frecuencia_dominante_anual,mediana_anual,p25_anual,p75_anual
524130194799,0.0445743055555555,0.037318474684243,1.6805553620764164,3.031793272493202,14.599601000000002,180.0,0.037,0.019,0.052,0.0373614926739926,0.0315517272645463,1.6456069807685567,3.767733082540292,10.445602999999998,3.0,0.036,0.01,0.043,0.0488208786231884,0.0319807435939539,1.775112546264918,4.397876196809343,15.041983,368.0,0.04,0.031,0.056,0.0280692167577413,0.0278397662721803,1.7583070382567705,4.526590372559058,6.864404,2.0,0.028,0.006,0.038,0.0397021604938271,0.0332761159803521,1.6832920812485304,3.844807505852151,46.951591,1458.0,0.036,0.014,0.046
540f95348569,0.2217296296296296,0.2607815373702597,2.646767001254825,8.997654753960756,506.1788880000001,180.0,0.125,0.061,0.248,0.2047383241758242,0.2256421199122856,2.764848782315236,9.941389539406034,405.490821,182.0,0.126,0.066,0.229,0.1980548007246377,0.2386617613034706,3.110501554956989,13.60334227617939,424.75358,184.0,0.11,0.059,0.217,0.2008165760869565,0.2080275854771098,2.8744574465866144,11.458970352544242,369.189848,184.0,0.1255,0.074,0.23,0.2062548515981735,0.234118098818734,2.872770147782685,11.19901250591936,1705.613137,730.0,0.121,0.066,0.231
56bf498d0564,0.5006590277777778,0.5975365080176018,1.4272998155555772,1.8216646899013755,2625.304351,180.0,0.133,0.065,0.889,0.2165400641025641,0.3163839376673779,3.5647118559852817,15.08543877488961,642.0453110000001,182.0,0.118,0.072,0.188,0.2494298007246376,0.3763614345303885,2.8896132908481738,9.372989152490083,900.259692,184.0,0.1145,0.067,0.192,0.3473265398550724,0.3760138219235034,1.910253293550661,3.067877352366863,1157.08968,184.0,0.187,0.13,0.333,0.3278521689497717,0.4432089045299703,2.2909905737087657,5.76921482666455,5324.699034000002,730.0,0.138,0.079,0.304
5937660386d6,0.2445059523809523,0.3056871204529685,2.5117777400526866,7.759682917750991,360.39173,98.0,0.118,0.055,0.275,0.1668154761904761,0.2006785976605934,3.9995712252535327,20.175605864136312,148.72887699999995,91.0,0.094,0.064,0.183,0.1974626358695652,0.2378191476174426,3.0066754050397124,11.263100917169972,421.946325,184.0,0.102,0.06,0.239,0.1440113396624472,0.1127430105241339,3.413207529690037,18.15788779171237,126.84335699999998,158.0,0.102,0.073,0.18025,0.1849881512868801,0.2208886700399372,3.455310542226124,15.590906789792058,1057.910289,531.0,0.101,0.064,0.208
5b13f13a01ed,0.3629951388888888,0.2874956919556122,2.481503780937952,10.363106007324948,926.2911330000002,180.0,0.292,0.16,0.462,0.2940565476190476,0.1759069558163195,1.9918729780798363,7.416199117806258,512.8578449999999,182.0,0.26,0.163,0.381,0.3080262681159421,0.190750214252887,1.982811357417539,6.917690364013362,579.6698880000001,184.0,0.277,0.164,0.394,0.4731944444444444,0.3842936006245426,1.6873973713602144,2.148704124498175,1632.0432800000003,183.0,0.326,0.218,0.55525,0.3595731595793324,0.2817366369487783,2.457220669904633,8.030901925516222,3650.862145999999,729.0,0.286,0.176,0.436
5ea12751c266,0.0965622685185185,0.1408115788998235,3.417188044507341,12.545798573990243,125.93738499999998,180.0,0.045,0.03,0.097,0.0353901098901098,0.0832540922510401,6.391349930640086,43.614142835573176,35.746418,1.0,0.029,0.0,0.037,0.0681616847826087,0.0874065372438389,5.429192177789604,35.43356656987401,54.254614,184.0,0.045,0.035,0.066,0.0637028388278388,0.1221880515312197,8.721526085148861,81.01626991294123,82.93946,2.0,0.046,0.041,0.051,0.0658762019230769,0.1129886349050977,5.86271070175078,43.070991597480266,298.877877,728.0,0.041,0.031,0.058
5f23ca5327cd,0.2485497685185185,0.1776075882203937,2.8390667775587195,12.160455951129656,403.1486330000001,180.0,0.192,0.145,0.31,0.1998502747252747,0.1491507599513449,2.592914974347122,9.528664098429012,271.628804,182.0,0.149,0.103,0.254,0.2077597373188405,0.1488461235527151,2.557971526753382,9.6666738958925,288.44992700000006,184.0,0.165,0.109,0.263,0.2714401183970856,0.2698041108914061,2.729983862588416,8.669472682240512,643.3137909999999,183.0,0.166,0.124,0.27725,0.2318423068129858,0.1951217175967289,3.135519337682711,13.915096096262364,1606.5411549999994,729.0,0.171,0.117,0.275
5f4793761400,0.1235252314814814,0.1244917493638379,5.703483684923878,44.51120324353497,132.86885100000003,180.0,0.109,0.061,0.14,0.1213246336996337,0.1098974460224854,5.792201468876985,51.75001300662672,117.04980000000002,1.0,0.115,0.06,0.144,0.0862932518115942,0.1030576638296598,6.494676796647419,60.34217165268425,79.78567100000001,1.0,0.061,0.038,0.109,0.0914139344262295,0.1056527303164386,7.477785970180631,73.4485363070812,85.72747800000002,1.0,0.069,0.047,0.104,0.1055176040237768,0.1122961376433068,6.158453710863922,54.109661797671,415.4317999999999,1.0,0.089,0.047,0.126
609781c124a2,0.2654490740740741,0.3165250651228027,3.236350087681373,13.093498161461046,737.2137359999999,180.0,0.169,0.112,0.26,0.2509475732600733,0.2989614858269325,3.4447229218961044,14.841790985117626,665.4763949999998,182.0,0.152,0.11475,0.24,0.2513505434782608,0.2960720087506528,3.3494493509229217,13.857978495725032,666.0905839999999,184.0,0.157,0.115,0.247,0.3821362179487179,0.414102696234786,1.7488023797496546,2.669391567850566,1386.879889,182.0,0.187,0.132,0.493,0.28743211996337,0.3393605001737799,2.745266568492648,8.742597175414401,3455.6606039999992,728.0,0.165,0.121,0.27
60e6d6d2541a,0.9850277777777776,0.8624242847424811,1.4215114805864195,4.314273156666042,7404.719197999999,180.0,0.87,0.22375,1.464,0.6859205586080587,0.6145007699742575,1.1780461469412864,1.3908689284998834,3704.492976999999,2.0,0.514,0.174,1.0725,0.4927547554347826,0.5448058342714313,1.3236253952535593,1.3410887058303054,2382.964773,184.0,0.203,0.073,0.8252499999999999,0.5264412568306012,0.4506425060122648,0.9918313183275828,0.6628322313768136,2109.122134,1.0,0.4245,0.14775,0.777,0.670985139460448,0.6644438019620028,1.6729243305681425,5.502800443335884,15601.299081999994,2.0,0.475,0.13,1.059
65e32355a97a,0.6013949074074074,0.6113248106700171,1.3638291668201112,1.3198723452574788,3176.90147,180.0,0.374,0.13,0.91825,0.3478855311355311,0.4715631147975194,2.279996099134428,5.351412807099994,1499.9542259999998,182.0,0.146,0.066,0.3805,0.4410151721014492,0.5010389830105604,1.780458514570448,2.81669542412958,1967.480107,184.0,0.212,0.11,0.5872499999999999,0.2486428571428571,0.3239604594963889,2.83293605159976,8.525579528435252,728.4673020000001,182.0,0.1425,0.06,0.258,0.4092940132783883,0.5044369240900239,1.983237814583182,3.790953740780539,7372.803105,2.0,0.183,0.084,0.534
6906cceeeb78,0.3404101851851852,0.3481957500591082,2.417022075891638,8.3835294754272,1024.3556980000003,180.0,0.206,0.098,0.42525,0.2491076007326007,0.2284129968318704,2.739658835777508,10.699236432822309,498.9439460000001,182.0,0.169,0.103,0.325,0.2578233695652173,0.2723566528247867,2.752503578397625,10.11070311008049,621.1149759999998,552.0,0.156,0.089,0.324,0.2187115209471767,0.1880148181247448,2.8111437762842546,10.795765298434029,365.3454510000001,183.0,0.15,0.105,0.261,0.2662210219478738,0.2693956508690152,2.8847764616620863,12.163331197388327,2509.7600709999992,729.0,0.165,0.1,0.336
6c1405ef7062,0.3205680555555555,0.3931231265019442,1.551607010284252,1.899779998291585,1111.577778,180.0,0.148,0.05975,0.41025,0.2097859432234432,0.2452603819577974,3.223336387484299,11.38846150622021,454.983097,182.0,0.157,0.073,0.24,0.211361865942029,0.2400943191675268,3.008295461456293,10.52526164117836,451.841236,184.0,0.158,0.069,0.232,0.2012930327868852,0.1583936309306648,4.70231052420949,32.687734236245,288.1478209999999,183.0,0.177,0.105,0.258,0.2354053497942387,0.2764368061591196,2.7164613692180755,8.262024776286989,2306.5499320000004,729.0,0.16,0.074,0.255
6f00c403abd0,0.7405939814814815,0.6976924717588421,0.6967829161653494,-0.5019075364320682,4472.298276,180.0,0.542,0.076,1.315,0.5685238095238094,0.6106993347494408,1.1348095481587823,0.1218519166712637,2573.055406,154.0,0.2675,0.091,0.92325,0.5653362771739131,0.6014839724537547,1.281645233496431,2.16491949118225,3009.009741,184.0,0.2875,0.08,0.9765,0.6197813818565402,0.5507457213830346,0.8247722316417613,-0.5714736811840315,2606.809683000001,2.0,0.404,0.151,1.026,0.6254540187376725,0.6238629826021623,0.9950430594439036,0.324212719972123,12661.173105999997,676.0,0.3665,0.099,1.09
6fadd3d6b297,0.3626888888888888,0.4311123472920421,2.659005208763775,7.493487131627836,1371.172692,180.0,0.185,0.145,0.364,0.2451549908424908,0.1795470797937246,4.603687170157707,32.48061815443525,403.332923,546.0,0.189,0.168,0.24,0.251128170289855,0.2011760651927429,3.230906291236377,15.36861621255412,457.22013,552.0,0.181,0.15,0.277,0.2595138888888889,0.13080720489574,3.450323003852497,17.34633735884345,370.939463,549.0,0.22,0.188,0.277,0.2792878372199359,0.2660000599977844,4.117854332678281,22.083487862454486,2602.6652079999994,729.0,0.193,0.163,0.282
71d3885d1431,0.2984268518518518,0.3029309154852899,2.5064862018692007,7.874293806197146,781.167134,180.0,0.193,0.102,0.3652499999999999,0.2822733516483516,0.2737529482078736,3.158717937092673,13.570757961668605,675.3754499999999,182.0,0.197,0.125,0.31925,0.2487798913043478,0.2594513040610389,3.2309252929796752,15.271910699114493,570.575522,184.0,0.154,0.101,0.28,0.503235347985348,0.5149056588040848,1.516334353223504,1.0549921910415945,2264.256116,182.0,0.2445,0.17075,0.64825,0.3330424679487179,0.3670110102493868,2.524739335805161,6.68749214581932,4291.374222,728.0,0.201,0.12,0.36
71d9a9f96bca,0.3605861111111111,0.3649857683573361,3.3091374105524487,18.824748155973644,1137.183644,180.0,0.226,0.145,0.40225,0.2903294413919414,0.2868994743180504,3.1340447580373905,13.705594955074268,727.7196889999999,182.0,0.193,0.13175,0.318,0.2736098278985507,0.2843103134477542,3.000862635084006,11.149367130385544,687.5477609999999,184.0,0.168,0.124,0.287,0.3062783061594203,0.4041416547696574,2.812380878378368,8.374739134829369,1135.516453,184.0,0.1495,0.102,0.26825,0.3074587328767123,0.3405430344944478,3.147202269802573,14.014858423622044,3687.967547,730.0,0.181,0.126,0.323
736f2de66813,0.3304881944444444,0.1735317250039631,2.0437320472026945,11.428751043718483,601.930251,180.0,0.343,0.218,0.402,0.3212928113553114,0.1432757038403956,1.4219075693490626,9.058686620097784,540.5705670000001,182.0,0.342,0.211,0.398,0.3235828804347826,0.1331854226571728,1.0232862365565354,7.105054506285159,540.7137519999999,184.0,0.35,0.215,0.40025,0.4152814207650273,0.3143909644752866,2.603376712564995,6.782666947621248,1191.5510800000002,183.0,0.387,0.228,0.432,0.3477351394604481,0.2083030297077521,3.1620501142126423,15.677531065709587,2874.765650000001,729.0,0.352,0.219,0.41
