cups,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12
5b13f13a01ed,1.620810265265931,-2.855663146238616,-1.294269786915907,0.17532886314869336,-0.08937879331292009,-0.4683123484116038,-0.16699670395665298,0.4412201155907946,-0.6222315295617401,-0.3687322964097333,-0.6168233898185695,-0.019169540147294446
5ea12751c266,-6.277106134507149,0.6268208751144883,1.284308218727021,-0.7464876026031819,-0.18053505761336483,0.1620356858697138,0.646857455042471,-0.8332891031250022,-0.075147606459973,-0.05242655421238706,-0.3075467499036699,-0.13844217566814046
5f23ca5327cd,-1.5290827180092017,-1.3134978356146123,-1.3251331736308691,0.2963512383525948,-0.25424616107548553,-0.43664836998522927,0.03412694240400632,-0.09764470392034538,-0.0032957697695455545,-0.4157039774111014,-0.06086782197421372,0.05820644338058404
5f4793761400,-5.800562685540716,-0.5651147682868707,2.5926660705566036,-2.36912906691524,0.14619237369339938,0.6108087607539942,0.3805103073701061,0.6190310667452332,0.4692356114912925,-0.5440579392080237,0.8632338681335442,0.10348598930739011
609781c124a2,-0.47749726046617946,-0.8238977235790119,-0.7642473855629592,-0.011968190789893004,0.4938245805410937,0.07725892916049898,-0.6404326743516826,0.18891142335860156,-1.0230780382104487,-0.35408755798906344,-0.6309628696960798,-0.09893461606327378
60e6d6d2541a,8.153724014025839,0.6281361352603433,1.189814086122403,-1.1796724765456876,-1.039620526380318,1.1251214816314756,0.6949369097685661,1.1365000299067778,2.2643135952051034,0.34105277061056233,-0.6733149248756044,0.12594385250853518
65e32355a97a,1.854845222663512,1.8213022651543374,-0.41002266059690523,0.14189845715040048,-0.7358040220001109,-0.12019751621586745,0.01689819379318985,0.24118955140863813,0.5059563561517781,0.8897611702049564,0.9333454102155834,0.32999625892524836
6906cceeeb78,-1.134822210550901,-0.2664715717950912,-1.5210816389339397,1.1809342768977196,0.5986549718033326,-0.6581925045719399,-0.048174499747767434,-0.08207438872671206,1.348950791622498,1.5066102950161984,-1.1075334214053092,-0.8627993192387567
6c1405ef7062,-1.6880000101819612,0.3037474496704645,-0.9989324511665836,0.585429485470434,-0.4406220040284715,-0.5382395957567437,0.5339344836097896,-0.5163474276823434,-0.12475509763875336,0.02044602980068891,0.1144106421660027,0.11806258578664182
6f00c403abd0,6.974678352722067,1.117990133259559,-0.007924917880785037,0.05984885953613955,-0.5774548952267854,2.797917601724874,-0.26392025384539597,0.13871309463890627,0.3716545593327654,-0.0227934505611898,-0.8188735431492106,0.14722208837763143
